controlStep,q_1,q_2,q_3,q_4,flexion_1,flexion_2,flexion_3,flexion_4
0,0,0,0,0,0.0437293805620501,0.0615702285419306,0.0815622930017637,0.0821520775488334
1,-338.666666666667,728.833333333333,-14.3333333333333,-65.6666666666667,0.0249512526452948,0.164179454690506,0.0798464521998675,0.0725558965366067
1,-482,1761.33333333333,-14.3333333333333,-65.6666666666667,0.0170038166175343,0.309540569712328,0.0798464521998675,0.0725558965366067
1,-493,2700.83333333333,-14.3333333333333,-65.6666666666667,0.016393897108427,0.441808625463419,0.0798464521998675,0.0725558965366067
1,-493,3606.33333333333,-14.3333333333333,-65.6666666666667,0.016393897108427,0.569289971373598,0.0798464521998675,0.0725558965366067
1,-493,4482,-14.6666666666667,-65.6666666666667,0.016393897108427,0.692571214041016,0.0798065489254048,0.0725558965366067
1,-493,5278.5,-15,-65.6666666666667,0.016393897108427,0.804706931343564,0.0797666456509421,0.0725558965366067
1,-493,6023.83333333333,-15.3333333333333,-65.6666666666667,0.016393897108427,0.909639119620817,0.0797267423764794,0.0725558965366067
1,-493,6483.83333333333,-16.3333333333333,-65.6666666666667,0.016393897108427,0.97440048805669,0.0796070325530913,0.0725558965366067
1,-493,6596.83333333333,-16.3333333333333,-65.6666666666667,0.016393897108427,0.990309258998545,0.0796070325530913,0.0725558965366067
1,-493,6596.83333333333,-17.6666666666667,-65.6666666666667,0.016393897108427,0.990309258998545,0.0794474194552405,0.0725558965366067
2,-595,6596.83333333333,-17.6666666666667,-65.6666666666667,0.0107382798421602,0.990309258998545,0.0794474194552405,0.0725558965366067
2,-595.8,6596.83333333333,-18.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0793277096318524,0.0725558965366067
2,-595.8,6596.83333333333,-19,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0792878063573897,0.0725558965366067
2,-595.8,6596.83333333333,-19.3333333333333,-65.6666666666667,0.0106939220596797,0.990309258998545,0.079247903082927,0.0725558965366067
2,-595.8,6596.83333333333,-20.3333333333333,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0791281932595389,0.0725558965366067
2,-595.8,6596.83333333333,-20.3333333333333,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0791281932595389,0.0725558965366067
2,-595.8,6596.83333333333,-21,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0790483867106135,0.0725558965366067
2,-595.8,6596.83333333333,-21.3333333333333,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0790084834361508,0.0725558965366067
2,-595.8,6596.83333333333,-21.3333333333333,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0790084834361508,0.0725558965366067
2,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
3,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,0.0106939220596797,0.990309258998545,0.0789685801616881,0.0725558965366067
