grid,motor,direction,pwm,pwm_magnitude,duration,n_initial,n_unique_endpoints,mean_displacement,min_displacement,max_displacement,mean_abs_stroke_fraction,min_abs_stroke_fraction,max_abs_stroke_fraction,modal_endpoint_percent,q_final_min,q_final_max,motor_global_min,motor_global_max,motor_stroke,grid_initial_min,grid_initial_max
globalPerMotor,3,closing,64,64,0.2,21,19,1324.23174603175,0,4091.66666666667,0.150105616190404,0,0.463802614675433,14.2857142857143,3181.66666666667,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,96,96,0.2,21,19,1241.9,0,4337.75,0.140773067331671,0,0.491696894128316,14.2857142857143,3427.75,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,128,128,0.2,21,19,3645.45555555556,0,7324.83333333333,0.413223254993828,0,0.830291695004912,14.2857142857143,6414.83333333333,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,160,160,0.2,21,17,4096.86666666667,0,8374.4,0.464392050177586,0,0.949263205622308,14.2857142857143,7464.4,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,192,192,0.2,21,5,4138,0,8420,0.46905463613693,0,0.954432101564271,71.4285714285714,7510,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,224,224,0.2,21,9,4039.80952380952,0,8433.66666666667,0.457924452936922,0,0.955981258973778,52.3809523809524,7513.66666666667,7912,-910,7912,8822,-910,7912
globalPerMotor,3,closing,255,255,0.2,21,8,4096.92063492063,0,8419.66666666667,0.464398167640063,0,0.95439431723721,57.1428571428571,7509.66666666667,7912,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-64,64,0.2,21,11,-2953.41428571429,-6370.33333333333,0,0.334778313955371,0,0.722096274465352,33.3333333333333,-910,1541.66666666667,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-96,96,0.2,21,5,-3800.65,-8150.25,0,0.430815007934709,0,0.923855134890048,61.9047619047619,-910,-238.25,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-128,128,0.2,21,6,-3936.45555555555,-7985.5,0,0.446208972518199,0,0.905180231240082,71.4285714285714,-910,-73.5,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-160,160,0.2,21,4,-3983.38571428571,-8365.2,0,0.451528645917673,0,0.948220358195421,85.7142857142857,-910,-453.2,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-192,192,0.2,21,3,-3966.79285714286,-8354.25,0,0.44964779609418,0,0.946979143051462,90.4761904761905,-910,-442.25,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-224,224,0.2,21,2,-4075.92063492064,-8470.16666666667,0,0.462017755035211,0,0.960118642786972,95.2380952380952,-910,-558.166666666667,-910,7912,8822,-910,7912
globalPerMotor,3,opening,-255,255,0.2,21,2,-4193.22222222222,-8593.33333333333,0,0.475314239653392,0,0.974079951636061,95.2380952380952,-910,-681.333333333333,-910,7912,8822,-910,7912
globalPerMotor,4,closing,64,64,0.2,21,19,1748.38968253968,0,3788.33333333333,0.243745947656445,0,0.52813792462475,9.52380952380952,3117.33333333333,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,96,96,0.2,21,10,2898.44523809524,0,5432.5,0.40407712785379,0,0.757353966262373,52.3809523809524,4761.5,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,128,128,0.2,21,2,3247.76984126984,0,6817.33333333333,0.452777058590526,0,0.950415911520052,95.2380952380952,6146.33333333333,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,160,160,0.2,21,2,3285.7380952381,0,6857.2,0.458070276765383,0,0.955973790603653,95.2380952380952,6186.2,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,192,192,0.2,21,2,3315.38888888889,0,6888.33333333333,0.462203943801602,0,0.960314140991682,95.2380952380952,6217.33333333333,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,224,224,0.2,21,2,3372.84920634921,0,6948.66666666667,0.470214583347164,0,0.968725312514522,95.2380952380952,6277.66666666667,6502,-671,6502,7173,-671,6502
globalPerMotor,4,closing,255,255,0.2,21,2,3375.86507936508,0,6951.83333333333,0.470635031279113,0,0.969166782843069,95.2380952380952,6280.83333333333,6502,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-64,64,0.2,21,15,-2237.97698412698,-3525.66666666667,0,0.312000137198799,0,0.49151912263581,28.5714285714286,-671,2976.33333333333,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-96,96,0.2,21,6,-2954.64761904762,-5543.5,0,0.411912396354053,0,0.772828663041963,71.4285714285714,-671,958.5,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-128,128,0.2,21,3,-3225.6119047619,-6793,0,0.449687983376816,0,0.947023560574376,90.4761904761905,-671,-291,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-160,160,0.2,21,2,-3337.16666666667,-6911.2,0,0.465240020447047,0,0.963502021469399,95.2380952380952,-671,-409.2,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-192,192,0.2,21,2,-3393.64285714286,-6970.5,0,0.473113461193762,0,0.97176913425345,95.2380952380952,-671,-468.5,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-224,224,0.2,21,2,-3414.11904761905,-6992,0,0.475968081363313,0,0.974766485431479,95.2380952380952,-671,-490,-671,6502,7173,-671,6502
globalPerMotor,4,opening,-255,255,0.2,21,2,-3482.84920634921,-7064.16666666667,0,0.485549868444055,0,0.984827361866258,95.2380952380952,-671,-562.166666666667,-671,6502,7173,-671,6502
