grid,motor,direction,pwm,pwm_magnitude,duration,n_initial,n_unique_endpoints,mean_displacement,min_displacement,max_displacement,mean_abs_stroke_fraction,min_abs_stroke_fraction,max_abs_stroke_fraction,modal_endpoint_percent,q_final_min,q_final_max,motor_global_min,motor_global_max,motor_stroke,grid_initial_min,grid_initial_max
perCombination,3,closing,96,96,0.2,21,20,1162.11428571429,0,3427.75,0.131729118761538,0,0.388545681251417,9.52380952380952,3427.75,6077,-910,7912,8822,0,6077
perCombination,3,closing,128,128,0.2,21,21,3298.5126984127,0,6432.76666666667,0.373896247836397,0,0.729173278923902,4.76190476190476,6414.83333333333,7838,-910,7912,8822,0,7838
perCombination,3,closing,160,160,0.2,21,19,3659.36666666667,0,7464.4,0.414800120909847,0,0.846111992745409,14.2857142857143,7464.4,7903,-910,7912,8822,0,7903
perCombination,3,closing,192,192,0.2,21,5,3695.77777777778,0,7510,0.418927428902491,0,0.851280888687373,80.9523809523809,7510,7912,-910,7912,8822,0,7912
perCombination,3,closing,224,224,0.2,21,9,3658.90476190476,0,7523.66666666667,0.414747762628062,0,0.852830046096879,61.9047619047619,7513.66666666667,7748,-910,7912,8822,0,7748
perCombination,3,closing,255,255,0.2,21,9,3702.75396825397,0,7509.66666666667,0.419718200890271,0,0.851243104360311,61.9047619047619,7509.66666666667,7795,-910,7912,8822,0,7795
perCombination,3,opening,-64,64,0.2,21,12,-2764.55555555556,-5122.33333333333,0,0.313370613869367,0,0.580631753948462,23.8095238095238,-112,1541.66666666667,-910,7912,8822,-112,6664
perCombination,3,opening,-96,96,0.2,21,3,-3235.85714285714,-6487.25,0,0.366794053826473,0,0.735349127182045,85.7142857142857,-308,-238.25,-910,7912,8822,-308,6249
perCombination,3,opening,-128,128,0.2,21,5,-4069.84126984127,-7911.5,0,0.461328640879763,0,0.89679211063251,76.1904761904762,-532,-73.5,-910,7912,8822,-532,7838
perCombination,3,opening,-160,160,0.2,21,3,-4146.34285714286,-8356.2,0,0.470000323865661,0,0.94720018136477,90.4761904761905,-539,-453.2,-910,7912,8822,-539,7903
perCombination,3,opening,-192,192,0.2,21,2,-4122.95238095238,-8354.25,0,0.467348943658171,0,0.946979143051462,95.2380952380952,-562,-442.25,-910,7912,8822,-562,7912
