case_id,grid,motor,direction,pwm,initial_index,q_initial,duration,n_points,first,q_final,trajectory_sum,displacement,abs_stroke_fraction,monotonic,n_reverse_steps,minimum_directed_step,out_of_curve_domain,held_initial
87,perCombination,1,closing,128,3,1717.2,0.2,1,9969.66666666667,9969.66666666667,9969.66666666667,8252.46666666667,0.452289086192407,1,0,8252.46666666667,0,0
88,perCombination,1,closing,128,4,2575.8,0.2,1,10746.8333333333,10746.8333333333,10746.8333333333,8171.03333333333,0.447826007526764,1,0,8171.03333333333,0,0
89,perCombination,1,closing,128,5,3434.4,0.2,1,11505.1666666667,11505.1666666667,11505.1666666667,8070.76666666667,0.442330739157441,1,0,8070.76666666667,0,0
90,perCombination,1,closing,128,6,4293,0.2,1,12236.1666666667,12236.1666666667,12236.1666666667,7943.16666666667,0.435337425554459,1,0,7943.16666666667,0,0
91,perCombination,1,closing,128,7,5151.6,0.2,1,12993.1666666667,12993.1666666667,12993.1666666667,7841.56666666667,0.429769081807885,1,0,7841.56666666667,0,0
92,perCombination,1,closing,128,8,6010.2,0.2,1,13722.5,13722.5,13722.5,7712.3,0.422684423983339,1,0,7712.3,0,0
93,perCombination,1,closing,128,9,6868.8,0.2,1,14464.6666666667,14464.6666666667,14464.6666666667,7595.86666666667,0.41630311666484,1,0,7595.86666666667,0,0
94,perCombination,1,closing,128,10,7727.4,0.2,1,15131,15131,15131,7403.6,0.405765647265154,1,0,7403.6,0,0
95,perCombination,1,closing,128,11,8586,0.2,1,15688.5,15688.5,15688.5,7102.5,0.389263400197304,1,0,7102.5,0,0
96,perCombination,1,closing,128,12,9444.6,0.2,1,16220.5,16220.5,16220.5,6775.9,0.371363586539516,1,0,6775.9,0,0
97,perCombination,1,closing,128,13,10303.2,0.2,1,16686.6666666667,16686.6666666667,16686.6666666667,6383.46666666667,0.349855676129928,1,0,6383.46666666667,0,0
98,perCombination,1,closing,128,14,11161.8,0.2,1,16922,16922,16922,5760.2,0.315696591033651,1,0,5760.2,0,0
99,perCombination,1,closing,128,15,12020.4,0.2,1,17099.6666666667,17099.6666666667,17099.6666666667,5079.26666666667,0.278376995871241,1,0,5079.26666666667,0,0
100,perCombination,1,closing,128,16,12879,0.2,1,17101,17101,17101,4222,0.231393182067302,1,0,4222,0,0
101,perCombination,1,closing,128,17,13737.6,0.2,1,17101,17101,17101,3363.4,0.184336292886112,1,0,3363.4,0,0
102,perCombination,1,closing,128,18,14596.2,0.2,1,17101,17101,17101,2504.8,0.137279403704922,1,0,2504.8,0,0
103,perCombination,1,closing,128,19,15454.8,0.2,1,17101,17101,17101,1646.2,0.0902225145237313,1,0,1646.2,0,0
104,perCombination,1,closing,128,20,16313.4,0.2,1,17101,17101,17101,787.6,0.0431656253425408,1,0,787.6,0,0
105,perCombination,1,closing,128,21,17172,0.2,1,17172,17172,17172,0,0,1,0,0,1,1
127,perCombination,1,closing,160,1,0,0.2,1,9023.8,9023.8,9023.8,9023.8,0.494563191932478,1,0,9023.8,0,0
128,perCombination,1,closing,160,2,860.05,0.2,1,10189.6,10189.6,10189.6,9329.55,0.511320289378494,1,0,9329.55,0,0
129,perCombination,1,closing,160,3,1720.1,0.2,1,10982.8,10982.8,10982.8,9262.7,0.50765647265154,1,0,9262.7,0,0
130,perCombination,1,closing,160,4,2580.15,0.2,1,11710.4,11710.4,11710.4,9130.25,0.500397347363806,1,0,9130.25,0,0
131,perCombination,1,closing,160,5,3440.2,0.2,1,12455.8,12455.8,12455.8,9015.6,0.494113778362381,1,0,9015.6,0,0
132,perCombination,1,closing,160,6,4300.25,0.2,1,13194.2,13194.2,13194.2,8893.95,0.487446563630385,1,0,8893.95,0,0
133,perCombination,1,closing,160,7,5160.3,0.2,1,13908.6,13908.6,13908.6,8748.3,0.479463992107859,1,0,8748.3,0,0
134,perCombination,1,closing,160,8,6020.35,0.2,1,14663.8,14663.8,14663.8,8643.45,0.473717527129234,1,0,8643.45,0,0
135,perCombination,1,closing,160,9,6880.4,0.2,1,15381,15381,15381,8500.6,0.465888413898937,1,0,8500.6,0,0
136,perCombination,1,closing,160,10,7740.45,0.2,1,16024.2,16024.2,16024.2,8283.75,0.454003617231174,1,0,8283.75,0,0
137,perCombination,1,closing,160,11,8600.5,0.2,1,16496,16496,16496,7895.5,0.432724980817713,1,0,7895.5,0,0
138,perCombination,1,closing,160,12,9460.55,0.2,1,16830.2,16830.2,16830.2,7369.65,0.403904965471884,1,0,7369.65,0,0
139,perCombination,1,closing,160,13,10320.6,0.2,1,16935.2,16935.2,16935.2,6614.6,0.362523292776499,1,0,6614.6,0,0
140,perCombination,1,closing,160,14,11180.65,0.2,1,17028.2,17028.2,17028.2,5847.55,0.320483941685849,1,0,5847.55,0,0
141,perCombination,1,closing,160,15,12040.7,0.2,1,17113.2,17113.2,17113.2,5072.5,0.278006138331689,1,0,5072.5,0,0
142,perCombination,1,closing,160,16,12900.75,0.2,1,17116.6,17116.6,17116.6,4215.85,0.231056121889729,1,0,4215.85,0,0
143,perCombination,1,closing,160,17,13760.8,0.2,1,17116.6,17116.6,17116.6,3355.8,0.183919763235778,1,0,3355.8,0,0
144,perCombination,1,closing,160,18,14620.85,0.2,1,17116.6,17116.6,17116.6,2495.75,0.136783404581826,1,0,2495.75,0,0
145,perCombination,1,closing,160,19,15480.9,0.2,1,17116.6,17116.6,17116.6,1635.7,0.0896470459278745,1,0,1635.7,0,0
146,perCombination,1,closing,160,20,16340.95,0.2,1,17116.6,17116.6,17116.6,775.649999999998,0.0425106872739229,1,0,775.649999999998,0,0
147,perCombination,1,closing,160,21,17201,0.2,1,17201,17201,17201,0,0,1,0,0,1,1
169,perCombination,1,closing,192,1,0,0.2,1,9863.66666666667,9863.66666666667,9863.66666666667,9863.66666666667,0.540593372063283,1,0,9863.66666666667,0,0
170,perCombination,1,closing,192,2,864.4,0.2,1,11039,11039,11039,10174.6,0.557634550038365,1,0,10174.6,0,0
171,perCombination,1,closing,192,3,1728.8,0.2,1,11831,11831,11831,10102.2,0.553666557053601,1,0,10102.2,0,0
172,perCombination,1,closing,192,4,2593.2,0.2,1,12678,12678,12678,10084.8,0.552712923380467,1,0,10084.8,0,0
173,perCombination,1,closing,192,5,3457.6,0.2,1,13458.3333333333,13458.3333333333,13458.3333333333,10000.7333333333,0.548105520844751,1,0,10000.7333333333,0,0
174,perCombination,1,closing,192,6,4322,0.2,1,14285.3333333333,14285.3333333333,14285.3333333333,9963.33333333333,0.546055756512843,1,0,9963.33333333333,0,0
175,perCombination,1,closing,192,7,5186.4,0.2,1,15099.6666666667,15099.6666666667,15099.6666666667,9913.26666666667,0.543311776097044,1,0,9913.26666666667,0,0
176,perCombination,1,closing,192,8,6050.8,0.2,1,15899,15899,15899,9848.2,0.539745697687164,1,0,9848.2,0,0
177,perCombination,1,closing,192,9,6915.2,0.2,1,16581.3333333333,16581.3333333333,16581.3333333333,9666.13333333333,0.529767254923453,1,0,9666.13333333333,0,0
178,perCombination,1,closing,192,10,7779.6,0.2,1,16916.3333333333,16916.3333333333,16916.3333333333,9136.73333333333,0.500752676385692,1,0,9136.73333333333,0,0
179,perCombination,1,closing,192,11,8644,0.2,1,17169,17169,17169,8525,0.467225693302642,1,0,8525,0,0
180,perCombination,1,closing,192,12,9508.4,0.2,1,17209,17209,17209,7700.6,0.422043187547956,1,0,7700.6,0,0
181,perCombination,1,closing,192,13,10372.8,0.2,1,17209,17209,17209,6836.2,0.374668420475721,1,0,6836.2,0,0
182,perCombination,1,closing,192,14,11237.2,0.2,1,17209,17209,17209,5971.8,0.327293653403486,1,0,5971.8,0,0
183,perCombination,1,closing,192,15,12101.6,0.2,1,17209,17209,17209,5107.4,0.279918886331251,1,0,5107.4,0,0
184,perCombination,1,closing,192,16,12966,0.2,1,17209,17209,17209,4243,0.232544119259016,1,0,4243,0,0
185,perCombination,1,closing,192,17,13830.4,0.2,1,17209,17209,17209,3378.6,0.185169352186781,1,0,3378.6,0,0
186,perCombination,1,closing,192,18,14694.8,0.2,1,17209,17209,17209,2514.2,0.137794585114546,1,0,2514.2,0,0
187,perCombination,1,closing,192,19,15559.2,0.2,1,17209,17209,17209,1649.8,0.0904198180423106,1,0,1649.8,0,0
188,perCombination,1,closing,192,20,16423.6,0.2,1,17209,17209,17209,785.400000000001,0.0430450509700757,1,0,785.400000000001,0,0
189,perCombination,1,closing,192,21,17288,0.2,1,17288,17288,17288,0,0,1,0,0,1,1
211,perCombination,1,closing,224,1,0,0.2,1,10436.8333333333,10436.8333333333,10436.8333333333,10436.8333333333,0.57200664985933,1,0,10436.8333333333,0,0
212,perCombination,1,closing,224,2,864.1,0.2,1,11599.6666666667,11599.6666666667,11599.6666666667,10735.5666666667,0.588379188132559,1,0,10735.5666666667,0,0
213,perCombination,1,closing,224,3,1728.2,0.2,1,12441.8333333333,12441.8333333333,12441.8333333333,10713.6333333333,0.587177098176769,1,0,10713.6333333333,0,0
214,perCombination,1,closing,224,4,2592.3,0.2,1,13277.6666666667,13277.6666666667,13277.6666666667,10685.3666666667,0.585627900179035,1,0,10685.3666666667,0,0
215,perCombination,1,closing,224,5,3456.4,0.2,1,14054.3333333333,14054.3333333333,14054.3333333333,10597.9333333333,0.580835982315759,1,0,10597.9333333333,0,0
216,perCombination,1,closing,224,6,4320.5,0.2,1,14862.3333333333,14862.3333333333,14862.3333333333,10541.8333333333,0.577761335817896,1,0,10541.8333333333,0,0
217,perCombination,1,closing,224,7,5184.6,0.2,1,15653.8333333333,15653.8333333333,15653.8333333333,10469.2333333333,0.573782381526545,1,0,10469.2333333333,0,0
218,perCombination,1,closing,224,8,6048.7,0.2,1,16436.6666666667,16436.6666666667,16436.6666666667,10387.9666666667,0.569328437283057,1,0,10387.9666666667,0,0
219,perCombination,1,closing,224,9,6912.8,0.2,1,16967,16967,16967,10054.2,0.551035843472542,1,0,10054.2,0,0
220,perCombination,1,closing,224,10,7776.9,0.2,1,17094.6666666667,17094.6666666667,17094.6666666667,9317.76666666667,0.510674485732033,1,0,9317.76666666667,0,0
221,perCombination,1,closing,224,11,8641,0.2,1,17210.5,17210.5,17210.5,8569.5,0.469664584018415,1,0,8569.5,0,0
222,perCombination,1,closing,224,12,9505.1,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,7708.73333333333,0.422488947349191,1,0,7708.73333333333,0,0
223,perCombination,1,closing,224,13,10369.2,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,6844.63333333333,0.375130622236837,1,0,6844.63333333333,0,0
224,perCombination,1,closing,224,14,11233.3,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,5980.53333333333,0.327772297124484,1,0,5980.53333333333,0,0
225,perCombination,1,closing,224,15,12097.4,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,5116.43333333333,0.28041397201213,1,0,5116.43333333333,0,0
226,perCombination,1,closing,224,16,12961.5,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,4252.33333333333,0.233055646899777,1,0,4252.33333333333,0,0
227,perCombination,1,closing,224,17,13825.6,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,3388.23333333333,0.185697321787424,1,0,3388.23333333333,0,0
228,perCombination,1,closing,224,18,14689.7,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,2524.13333333333,0.13833899667507,1,0,2524.13333333333,0,0
229,perCombination,1,closing,224,19,15553.8,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,1660.03333333333,0.0909806715627169,1,0,1660.03333333333,0,0
230,perCombination,1,closing,224,20,16417.9,0.2,1,17213.8333333333,17213.8333333333,17213.8333333333,795.933333333331,0.0436223464503634,1,0,795.933333333331,0,0
231,perCombination,1,closing,224,21,17282,0.2,1,17282,17282,17282,0,0,1,0,0,1,1
253,perCombination,1,closing,255,1,0,0.2,1,11176.6666666667,11176.6666666667,11176.6666666667,11176.6666666667,0.612554349811831,1,0,11176.6666666667,0,0
254,perCombination,1,closing,255,2,868.75,0.2,1,12353,12353,12353,11484.25,0.629411925901567,1,0,11484.25,0,0
255,perCombination,1,closing,255,3,1737.5,0.2,1,13184.5,13184.5,13184.5,11447,0.6273703825496,1,0,11447,0,0
256,perCombination,1,closing,255,4,2606.25,0.2,1,14008.5,14008.5,14008.5,11402.25,0.624917790200592,1,0,11402.25,0,0
257,perCombination,1,closing,255,5,3475,0.2,1,14824.6666666667,14824.6666666667,14824.6666666667,11349.6666666667,0.62203588001023,1,0,11349.6666666667,0,0
258,perCombination,1,closing,255,6,4343.75,0.2,1,15576,15576,15576,11232.25,0.615600679601008,1,0,11232.25,0,0
259,perCombination,1,closing,255,7,5212.5,0.2,1,16352.3333333333,16352.3333333333,16352.3333333333,11139.8333333333,0.610535642515254,1,0,11139.8333333333,0,0
260,perCombination,1,closing,255,8,6081.25,0.2,1,16948.6666666667,16948.6666666667,16948.6666666667,10867.4166666667,0.59560542950053,1,0,10867.4166666667,0,0
261,perCombination,1,closing,255,9,6950,0.2,1,17156.5,17156.5,17156.5,10206.5,0.55938287843911,1,0,10206.5,0,0
262,perCombination,1,closing,255,10,7818.75,0.2,1,17246.5,17246.5,17246.5,9427.75,0.516702290913077,1,0,9427.75,0,0
263,perCombination,1,closing,255,11,8687.5,0.2,1,17246.5,17246.5,17246.5,8559,0.469089115422558,1,0,8559,0,0
264,perCombination,1,closing,255,12,9556.25,0.2,1,17246.5,17246.5,17246.5,7690.25,0.42147593993204,1,0,7690.25,0,0
265,perCombination,1,closing,255,13,10425,0.2,1,17246.5,17246.5,17246.5,6821.5,0.373862764441521,1,0,6821.5,0,0
