motor,pwm,pos,duration,n_points,first,last,sum
1,-128,14217.166666666668,3.0,21,7591.666666666667,-493.0,-1113.833333333333
1,-128,17172.0,0.2,1,8448.833333333334,8448.833333333334,8448.833333333334
1,-128,17172.0,3.0,21,11086.0,-493.0,6013.166666666668
1,160,0.0,0.2,1,9023.8,9023.8,9023.8
1,160,0.0,3.0,21,6459.4,17116.6,344237.9999999999
1,160,2866.8333333333335,0.2,1,11959.4,11959.4,11959.4
1,160,2866.8333333333335,3.0,21,9473.2,17116.6,350069.59999999986
1,160,5733.666666666667,0.2,1,14425.2,14425.2,14425.2
1,160,5733.666666666667,3.0,21,12124.8,17116.6,354203.7999999999
1,160,8600.5,0.2,1,16496.0,16496.0,16496.0
1,160,8600.5,3.0,21,14663.8,17116.6,356995.7999999999
1,160,11467.333333333334,0.2,1,17059.0,17059.0,17059.0
1,160,11467.333333333334,3.0,21,16645.4,17116.6,358977.39999999985
1,160,14334.166666666668,0.2,1,17116.6,17116.6,17116.6
1,160,14334.166666666668,3.0,21,17113.2,17116.6,359445.19999999984
1,160,17201.0,0.2,1,17201.0,17201.0,17201.0
1,160,17201.0,3.0,21,17201.0,17201.0,361221.0
1,-160,-688.0,0.2,1,-688.0,-688.0,-688.0
1,-160,-688.0,3.0,21,-688.0,-688.0,-14448.0
1,-160,2293.3333333333335,0.2,1,-595.8,-595.8,-595.8
1,-160,2293.3333333333335,3.0,21,-595.8,-595.8,-12511.799999999996
1,-160,5274.666666666667,0.2,1,-595.8,-595.8,-595.8
1,-160,5274.666666666667,3.0,21,-585.8,-595.8,-12501.799999999996
1,-160,8256.0,0.2,1,-588.4,-588.4,-588.4
1,-160,8256.0,3.0,21,557.4,-595.8,-11358.599999999995
1,-160,11237.333333333334,0.2,1,557.4,557.4,557.4
1,-160,11237.333333333334,3.0,21,3618.4,-595.8,-8297.599999999999
1,-160,14218.666666666668,0.2,1,3726.0,3726.0,3726.0
1,-160,14218.666666666668,3.0,21,6786.4,-595.8,-4866.800000000001
1,-160,17200.0,0.2,1,7267.2,7267.2,7267.2
1,-160,17200.0,3.0,21,10269.8,-595.8,1566.1999999999982
1,192,0.0,0.2,1,9863.666666666666,9863.666666666666,9863.666666666666
1,192,0.0,3.0,21,7040.666666666667,17209.0,348104.3333333333
1,192,2881.3333333333335,0.2,1,12923.666666666666,12923.666666666666,12923.666666666666
1,192,2881.3333333333335,3.0,21,10093.0,17209.0,353833.6666666667
1,192,5762.666666666667,0.2,1,15621.0,15621.0,15621.0
1,192,5762.666666666667,3.0,21,12874.333333333334,17209.0,357054.3333333334
1,192,8644.0,0.2,1,17169.0,17169.0,17169.0
1,192,8644.0,3.0,21,15667.666666666666,17209.0,359847.6666666666
1,192,11525.333333333334,0.2,1,17209.0,17209.0,17209.0
1,192,11525.333333333334,3.0,21,17180.0,17209.0,361360.0
1,192,14406.666666666668,0.2,1,17209.0,17209.0,17209.0
1,192,14406.666666666668,3.0,21,17209.0,17209.0,361389.0
1,192,17288.0,0.2,1,17288.0,17288.0,17288.0
1,192,17288.0,3.0,21,17288.0,17288.0,363048.0
1,-192,-707.0,0.2,1,-707.0,-707.0,-707.0
1,-192,-707.0,3.0,21,-707.0,-707.0,-14847.0
1,-192,2292.1666666666665,0.2,1,-659.25,-659.25,-659.25
1,-192,2292.1666666666665,3.0,21,-659.25,-659.25,-13844.25
