subject,side,step,raw_1,raw_2,raw_3,raw_4,effective_1,effective_2,effective_3,effective_4,pwm_1,pwm_2,pwm_3,pwm_4,qBefore_1,qBefore_2,qBefore_3,qBefore_4,qAfter_1,qAfter_2,qAfter_3,qAfter_4
DENIS,1,1,-0.538272321224213,0.921701550483704,-0.0744290128350258,-0.111000098288059,-0.501960784313725,0.87843137254902,-0.250980392156863,-0.250980392156863,-128,224,-64,-64,0,0,0,0,-493,6596.83333333333,-17.6666666666667,-65.6666666666667
DENIS,1,2,-0.600189685821533,0.934744834899902,-0.122347243130207,-0.150215029716492,-0.627450980392157,0.87843137254902,-0.250980392156863,-0.250980392156863,-160,224,-64,-64,-493,6596.83333333333,-17.6666666666667,-65.6666666666667,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667
DENIS,1,3,-0.552211463451385,0.920526742935181,-0.0895847827196121,-0.125302270054817,-0.501960784313725,0.87843137254902,-0.250980392156863,-0.250980392156863,-128,224,-64,-64,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667
DENIS,1,4,0.129571139812469,0.947913408279419,0.539140164852142,0.427449703216553,0.250980392156863,1,0.501960784313725,0.376470588235294,64,255,128,96,-595.8,6596.83333333333,-21.6666666666667,-65.6666666666667,3925.33333333333,6665.16666666667,6414.83333333333,4761.5
DENIS,1,5,0.892926275730133,0.984468460083008,0.955437421798706,0.910558760166168,0.87843137254902,1,1,0.87843137254902,224,255,255,224,3925.33333333333,6665.16666666667,6414.83333333333,4761.5,14511.5,6665.16666666667,7602.5,6277.66666666667
DENIS,1,6,0.981777787208557,0.993729770183563,0.992790699005127,0.979798436164856,1,1,1,1,255,255,255,255,14511.5,6665.16666666667,7602.5,6277.66666666667,17246.5,6665.16666666667,7538.66666666667,6280.83333333333
DENIS,1,7,0.976151525974274,0.990672528743744,0.989982068538666,0.973280370235443,1,1,1,1,255,255,255,255,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,17246.5,6665.16666666667,7603.66666666667,6280.83333333333
DENIS,1,8,0.993708670139313,0.993582665920258,0.997260332107544,0.990738213062286,1,1,1,1,255,255,255,255,17246.5,6665.16666666667,7603.66666666667,6280.83333333333,17246.5,6665.16666666667,7538.66666666667,6280.83333333333
DENIS,1,9,0.997318029403687,0.994927585124969,0.998807728290558,0.995315670967102,1,1,1,1,255,255,255,255,17246.5,6665.16666666667,7538.66666666667,6280.83333333333,17246.5,6665.16666666667,7603.66666666667,6280.83333333333
DENIS,1,10,0.950711369514465,0.991357743740082,0.980798006057739,0.954987764358521,1,1,1,1,255,255,255,255,17246.5,6665.16666666667,7603.66666666667,6280.83333333333,17246.5,6665.16666666667,7538.66666666667,6280.83333333333
